Latitud,Longitud,Region,Sistema_Origen,Nivel_Duplicados,Duplicados,Registros_Duplicados_est,Registros_Rechazados,Fecha,Tipo_Pipeline
-23.73282,-70.34946,Norte,Web,Medio,3,9214,921,2025-03-20,Streaming
-39.99795,-73.1075,Sur,ERP,Bajo,1,4421,3978,2025-03-19,Streaming
-39.99903,-73.10984,Sur,CRM,Alto,4,19809,2971,2025-02-17,Batch
-23.56439,-70.40189,Norte,POS,Bajo,1,737,516,2025-06-18,Batch
-23.70129,-70.26489,Norte,CRM,Medio,3,5372,1253,2025-06-26,Streaming
-33.53877,-70.49957,Centro,ERP,Alto,5,18232,1823,2025-06-19,Streaming
-39.97425,-73.37643,Sur,IoT,Bajo,1,3315,1989,2025-03-14,Streaming
-23.69204,-70.24576,Norte,IoT,Alto,4,6211,931,2025-02-28,Streaming
-23.54498,-70.27744,Norte,Web,Medio,3,8391,1398,2025-03-23,Batch
-23.71346,-70.21983,Norte,POS,Medio,3,11631,1163,2025-02-17,Batch
-39.73153,-73.42988,Sur,Web,Alto,4,13085,2616,2025-01-29,Batch
-39.80629,-73.19257,Sur,ERP,Bajo,0,0,140,2025-05-25,Batch
-23.5072,-70.29513,Norte,POS,Alto,4,2415,664,2025-03-02,Streaming
-33.51194,-70.46481,Centro,CRM,Bajo,1,3313,1987,2025-02-11,Streaming
-33.32782,-70.80241,Centro,IoT,Alto,5,13044,1826,2025-04-28,Batch
-33.46459,-70.72488,Centro,Web,Bajo,1,3278,1311,2025-04-29,Batch
-39.89724,-73.28287,Sur,CRM,Alto,4,11486,2297,2025-05-22,Batch
-39.84729,-73.06272,Sur,IoT,Medio,2,6950,1389,2025-04-16,Batch
-39.96778,-73.0675,Sur,ERP,Alto,5,21776,2177,2025-01-14,Batch
-33.5688,-70.79976,Centro,POS,Alto,4,15070,3390,2025-03-19,Streaming
-23.7847,-70.55262,Norte,ERP,Alto,5,16979,4074,2025-01-25,Batch
-33.49825,-70.79182,Centro,Web,Medio,3,10700,1783,2025-01-22,Streaming
-23.60039,-70.32905,Norte,Web,Alto,5,10907,1963,2025-06-09,Streaming
-33.3095,-70.78319,Centro,POS,Bajo,0,0,434,2025-04-21,Batch
-39.62196,-73.17732,Sur,POS,Alto,4,2658,398,2025-05-01,Batch
-39.75124,-73.16126,Sur,Web,Bajo,1,2635,1580,2025-03-14,Streaming
-39.98608,-73.17351,Sur,CRM,Bajo,0,0,124,2025-02-09,Batch
-23.84614,-70.59462,Norte,Web,Alto,5,6596,1582,2025-06-30,Batch
-23.77577,-70.3127,Norte,IoT,Bajo,0,0,516,2025-05-02,Batch
-39.73749,-73.25232,Sur,CRM,Alto,4,11280,1692,2025-02-06,Batch
-39.9704,-73.13533,Sur,Web,Medio,3,5082,846,2025-02-25,Streaming
-39.92369,-73.43721,Sur,POS,Bajo,0,0,134,2025-01-21,Streaming
-23.45913,-70.3302,Norte,IoT,Alto,4,16283,2035,2025-04-05,Streaming
-33.43163,-70.56201,Centro,POS,Medio,3,12366,3297,2025-04-29,Streaming
-39.71978,-73.27216,Sur,IoT,Medio,3,7500,1249,2025-06-01,Batch
-23.69348,-70.54004,Norte,CRM,Medio,2,5113,1022,2025-06-05,Streaming
-33.27107,-70.79607,Centro,CRM,Alto,5,4254,850,2025-02-25,Streaming
-33.3974,-70.72457,Centro,POS,Alto,4,14827,1853,2025-04-05,Streaming
-23.67117,-70.4332,Norte,Web,Medio,2,7647,3440,2025-02-02,Streaming
-23.56676,-70.35625,Norte,IoT,Bajo,0,0,2417,2025-01-21,Batch
-39.65983,-73.06114,Sur,POS,Medio,2,5085,1271,2025-03-05,Batch
-33.50753,-70.61174,Centro,CRM,Alto,4,12165,2737,2025-01-16,Batch
-39.90702,-73.12372,Sur,ERP,Bajo,1,1868,747,2025-04-05,Batch
-39.86719,-73.37721,Sur,POS,Medio,2,3868,1740,2025-03-24,Streaming
-33.42897,-70.71247,Centro,CRM,Alto,5,3168,696,2025-06-14,Streaming
-40.00425,-73.23532,Sur,Web,Bajo,1,835,166,2025-01-24,Batch
-23.68494,-70.29966,Norte,Web,Alto,5,16254,3575,2025-04-25,Batch
-23.75429,-70.3421,Norte,CRM,Medio,3,14758,2951,2025-02-05,Batch
-33.34761,-70.59189,Centro,CRM,Alto,4,2493,623,2025-02-28,Batch
-33.36927,-70.62737,Centro,POS,Alto,4,6462,969,2025-02-10,Streaming
-33.57169,-70.50083,Centro,CRM,Alto,4,2604,716,2025-01-11,Streaming
-23.76994,-70.37192,Norte,CRM,Medio,2,9576,2872,2025-05-11,Batch
-23.51817,-70.25586,Norte,IoT,Medio,3,6649,2216,2025-06-20,Batch
-23.49624,-70.25893,Norte,ERP,Medio,3,1500,350,2025-02-25,Batch
-39.66942,-73.40956,Sur,POS,Bajo,0,0,0,2025-01-31,Batch
-23.49788,-70.22718,Norte,POS,Medio,3,12900,2580,2025-01-17,Streaming
-23.82394,-70.32879,Norte,Web,Medio,3,14562,4853,2025-03-13,Batch
-33.56892,-70.75309,Centro,Web,Bajo,0,0,2881,2025-03-01,Batch
-33.50439,-70.62078,Centro,POS,Alto,5,6796,1359,2025-02-14,Batch
-33.25659,-70.55307,Centro,Web,Medio,2,6686,2674,2025-03-27,Batch
-33.34852,-70.51528,Centro,Web,Alto,4,15108,2266,2025-06-27,Batch
-23.4538,-70.3824,Norte,POS,Alto,5,9177,2386,2025-03-25,Batch
-33.44075,-70.53226,Centro,CRM,Bajo,1,2639,527,2025-05-10,Streaming
-23.57203,-70.47738,Norte,ERP,Bajo,1,3341,668,2025-02-23,Batch
-23.74863,-70.21959,Norte,CRM,Medio,2,8317,2495,2025-06-08,Streaming
-39.78267,-73.16835,Sur,Web,Alto,5,3314,596,2025-06-26,Streaming
-39.82388,-73.42907,Sur,ERP,Bajo,0,0,1457,2025-03-28,Batch
-23.72085,-70.37895,Norte,Web,Bajo,0,0,2230,2025-01-18,Batch
-33.37115,-70.70473,Centro,CRM,Alto,5,17853,2142,2025-02-11,Streaming
-33.47931,-70.58528,Centro,IoT,Bajo,0,0,914,2025-02-16,Batch
-39.68178,-73.34851,Sur,IoT,Bajo,1,1362,408,2025-06-28,Batch
-39.66092,-73.29268,Sur,ERP,Medio,3,2027,473,2025-03-09,Streaming
-33.44715,-70.76271,Centro,Web,Alto,5,4764,667,2025-05-03,Streaming
-39.8547,-73.21613,Sur,Web,Bajo,0,0,719,2025-05-15,Batch
-40.01646,-73.08785,Sur,IoT,Bajo,1,4701,1880,2025-01-26,Streaming
-39.76919,-73.09652,Sur,Web,Medio,3,3787,504,2025-06-10,Batch
-23.51881,-70.43744,Norte,IoT,Bajo,0,0,2755,2025-02-02,Streaming
-33.39158,-70.55783,Centro,IoT,Bajo,0,0,1405,2025-06-30,Batch
-33.53904,-70.74767,Centro,IoT,Alto,4,19539,5861,2025-06-26,Streaming
-39.77792,-73.1756,Sur,POS,Medio,2,1954,879,2025-03-15,Batch
-33.27927,-70.73033,Centro,POS,Medio,2,4212,1053,2025-06-21,Streaming
-23.5291,-70.32467,Norte,Web,Medio,2,6691,3345,2025-03-16,Streaming
-39.70402,-73.10784,Sur,Web,Medio,3,5363,1609,2025-02-07,Streaming
-33.60023,-70.70938,Centro,Web,Medio,3,4472,1043,2025-03-10,Streaming
-33.41189,-70.66945,Centro,ERP,Medio,2,2899,434,2025-05-21,Batch
-23.4797,-70.32531,Norte,POS,Medio,2,1103,165,2025-03-01,Streaming
-39.71931,-73.06886,Sur,CRM,Alto,4,2481,744,2025-05-19,Batch
-23.6215,-70.35435,Norte,IoT,Medio,3,3005,600,2025-02-26,Batch
-23.58154,-70.42592,Norte,IoT,Bajo,0,0,485,2025-04-09,Streaming
-39.71398,-73.35795,Sur,IoT,Bajo,0,0,1147,2025-02-06,Streaming
-39.74669,-73.37265,Sur,CRM,Medio,2,4704,1881,2025-01-07,Streaming
-39.74097,-73.2591,Sur,IoT,Medio,3,6929,1847,2025-01-23,Streaming
