Fecha,Mes,Dia_Semana,Hora_Inicio,Hora_Fin,Tiempo_Ejecucion,Tiempo_min,Tipo_Pipeline,Sistema_Origen,Prioridad,Duplicados,Nivel_Duplicados,Registros_Duplicados_est,Registros_Procesados,Throughput,Registros_Rechazados,Reglas_Calidad,Nulos,Reintentos,CPU,RAM,Disco,Latencia,Region,Latitud,Longitud,Pipeline_ID,Severidad,Estado
2025-04-27,4,Sunday,16:00,18:00,118.27,1.97,Streaming,ERP,Alta,5,Alto,14708,294168,683,3530,5,7,0,29,74,30,130,Sur,-39.75993,-73.36365,P1006,Baja,OK
2025-05-30,5,Friday,21:00,22:00,128.5,2.14,Streaming,CRM,Alta,1,Bajo,599,59894,799,59,1,0,1,43,25,43,179,Centro,-33.29424,-70.69941,P1006,Baja,OK
2025-01-07,1,Tuesday,17:00,19:00,136.73,2.28,Batch,POS,Baja,1,Bajo,3524,352438,1132,1057,0,2,0,77,61,63,110,Centro,-33.38855,-70.77987,P1006,Baja,OK
2025-02-25,2,Tuesday,11:00,11:00,153.22,2.55,Batch,IoT,Baja,1,Bajo,3951,395069,635,1580,2,3,1,45,80,44,100,Norte,-23.63397,-70.21814,P1006,Baja,OK
2025-01-24,1,Friday,05:00,07:00,74.61,1.24,Batch,CRM,Alta,3,Medio,2274,75802,789,758,2,7,1,26,53,35,73,Centro,-33.60076,-70.48079,P1006,Baja,OK
2025-05-10,5,Saturday,11:00,12:00,135.1,2.25,Streaming,CRM,Media,5,Alto,18356,367114,1158,3671,2,5,1,38,32,37,145,Sur,-39.8134,-73.37485,P1006,Baja,OK
2025-02-28,2,Friday,22:00,22:00,147.55,2.46,Streaming,ERP,Alta,2,Medio,9991,499573,809,1498,2,1,1,25,49,35,127,Sur,-39.9752,-73.25722,P1006,Baja,OK
2025-06-27,6,Friday,15:00,15:00,119.35,1.99,Batch,CRM,Baja,1,Bajo,1238,123786,446,495,2,3,2,26,42,27,102,Sur,-39.69593,-73.08962,P1006,Baja,OK
2025-04-04,4,Friday,03:00,03:00,125.52,2.09,Batch,Web,Baja,3,Medio,8025,267514,1032,1337,2,2,0,67,43,55,115,Sur,-39.69905,-73.09346,P1006,Baja,OK
2025-04-15,4,Tuesday,01:00,03:00,109.27,1.82,Batch,IoT,Media,0,Bajo,0,218334,1036,0,1,0,1,48,78,39,87,Centro,-33.56837,-70.69854,P1006,Baja,OK
2025-02-04,2,Tuesday,19:00,21:00,84.05,1.4,Streaming,IoT,Baja,0,Bajo,0,98299,628,589,4,6,0,31,25,39,109,Sur,-39.73099,-73.3721,P1006,Baja,OK
2025-02-02,2,Sunday,07:00,09:00,134.67,2.24,Batch,IoT,Baja,4,Alto,13324,333108,1072,2997,3,5,2,41,33,48,102,Centro,-33.4595,-70.50018,P1006,Baja,OK
2025-04-29,4,Tuesday,21:00,23:00,128.06,2.13,Streaming,CRM,Alta,1,Bajo,3724,372444,689,744,2,1,0,31,70,35,123,Norte,-23.75978,-70.56712,P1006,Baja,OK
2025-02-16,2,Sunday,00:00,00:00,159.23,2.65,Batch,IoT,Alta,4,Alto,9859,246487,832,1478,2,2,2,73,33,57,103,Sur,-39.78913,-73.08657,P1006,Baja,OK
2025-06-09,6,Monday,08:00,10:00,79.47,1.32,Streaming,IoT,Media,2,Medio,6041,302065,985,2718,5,7,0,50,45,46,22,Norte,-23.51585,-70.50487,P1006,Baja,OK
2025-01-17,1,Friday,11:00,12:00,149.16,2.49,Streaming,ERP,Alta,3,Medio,5515,183842,590,1470,4,5,2,57,46,54,106,Norte,-23.55202,-70.33782,P1006,Baja,OK
2025-05-10,5,Saturday,05:00,06:00,130.14,2.17,Streaming,IoT,Alta,1,Bajo,3386,338602,523,1693,1,4,1,39,54,45,48,Norte,-23.4641,-70.54951,P1006,Baja,OK
2025-05-19,5,Monday,07:00,09:00,155.46,2.59,Batch,Web,Alta,4,Alto,17615,440382,1151,3963,4,5,2,74,26,57,70,Norte,-23.79332,-70.32777,P1006,Baja,OK
2025-04-13,4,Sunday,09:00,10:00,207.19,3.45,Streaming,CRM,Alta,4,Alto,19684,492099,631,2952,1,2,2,35,65,37,178,Norte,-23.70021,-70.55994,P1006,Baja,OK
2025-04-16,4,Wednesday,04:00,04:00,117.11,1.95,Streaming,CRM,Media,5,Alto,4463,89253,400,803,2,4,2,33,71,30,96,Centro,-33.2925,-70.6728,P1006,Baja,OK
2025-03-12,3,Wednesday,04:00,05:00,81.42,1.36,Batch,POS,Baja,4,Alto,10787,269681,1061,2696,3,6,0,40,50,35,60,Norte,-23.54416,-70.2772,P1006,Baja,OK
2025-06-10,6,Tuesday,19:00,20:00,154.24,2.57,Batch,Web,Baja,2,Medio,8049,402446,545,2414,1,4,0,34,38,37,133,Sur,-39.72414,-73.06226,P1006,Baja,OK
2025-01-29,1,Wednesday,20:00,21:00,147.69,2.46,Streaming,ERP,Media,5,Alto,6528,130570,865,783,3,1,1,59,72,58,176,Sur,-39.84469,-73.1111,P1006,Baja,OK
2025-06-20,6,Friday,15:00,17:00,138.83,2.31,Batch,Web,Media,4,Alto,8105,202623,1176,1418,3,3,0,80,75,72,144,Sur,-39.95262,-73.1561,P1006,Baja,OK
2025-01-26,1,Sunday,22:00,23:00,168.9,2.82,Streaming,POS,Baja,2,Medio,7714,385683,657,3856,2,8,1,74,42,58,90,Centro,-33.62734,-70.81792,P1006,Baja,OK
2025-06-04,6,Wednesday,03:00,05:00,142.3,2.37,Streaming,Web,Alta,4,Alto,19328,483198,1199,5315,3,7,2,67,42,63,46,Sur,-39.82201,-73.20357,P1006,Baja,OK
2025-05-27,5,Tuesday,16:00,16:00,173.71,2.9,Batch,POS,Media,3,Medio,12079,402641,994,3623,5,6,2,73,40,70,112,Norte,-23.61975,-70.55301,P1006,Baja,OK
2025-04-02,4,Wednesday,21:00,22:00,112.51,1.88,Streaming,ERP,Media,0,Bajo,0,62658,585,313,3,5,1,26,38,37,165,Sur,-39.72225,-73.26728,P1006,Baja,OK
2025-05-08,5,Thursday,02:00,03:00,140.07,2.33,Streaming,IoT,Media,1,Bajo,4661,466096,1187,1398,1,2,2,45,54,47,87,Norte,-23.73935,-70.28652,P1006,Baja,OK
2025-04-08,4,Tuesday,06:00,07:00,170.59,2.84,Streaming,Web,Alta,5,Alto,21425,428504,503,2571,2,1,1,39,45,47,98,Sur,-39.80471,-73.11794,P1006,Baja,OK
2025-04-12,4,Saturday,19:00,21:00,100.73,1.68,Streaming,Web,Baja,0,Bajo,0,219219,572,0,1,0,0,48,73,47,60,Centro,-33.50976,-70.53764,P1006,Baja,OK
2025-03-17,3,Monday,19:00,21:00,180.87,3.01,Streaming,CRM,Baja,4,Alto,17013,425331,549,3827,2,5,1,67,50,63,87,Norte,-23.81265,-70.31533,P1006,Baja,OK
2025-04-23,4,Wednesday,20:00,20:00,172.28,2.87,Batch,CRM,Baja,0,Bajo,0,399973,558,1599,2,4,1,27,40,30,160,Centro,-33.25022,-70.68299,P1006,Baja,OK
2025-06-10,6,Tuesday,18:00,19:00,181.89,3.03,Batch,IoT,Alta,4,Alto,10693,267330,849,3207,6,8,2,79,64,65,143,Norte,-23.73128,-70.21416,P1006,Baja,OK
2025-06-29,6,Sunday,07:00,09:00,139.63,2.33,Streaming,ERP,Alta,1,Bajo,2441,244106,841,1464,3,5,1,76,76,62,87,Centro,-33.3673,-70.46723,P1006,Baja,OK
2025-03-10,3,Monday,18:00,18:00,124.61,2.08,Streaming,Web,Media,4,Alto,8574,214356,948,1071,4,1,0,57,70,51,141,Norte,-23.81135,-70.23301,P1006,Baja,OK
2025-06-24,6,Tuesday,11:00,11:00,62.5,1.04,Streaming,IoT,Alta,5,Alto,14256,285126,973,3706,3,8,0,29,35,29,25,Sur,-39.84485,-73.20357,P1006,Baja,OK
2025-03-01,3,Saturday,18:00,20:00,156.59,2.61,Streaming,POS,Media,3,Medio,8276,275879,902,1379,3,2,0,71,26,63,173,Centro,-33.4221,-70.48106,P1006,Baja,OK
2025-02-11,2,Tuesday,23:00,23:00,65.59,1.09,Batch,Web,Baja,4,Alto,3111,77772,1024,699,5,5,0,62,45,50,21,Norte,-23.54348,-70.20793,P1006,Baja,OK
2025-04-08,4,Tuesday,22:00,23:00,102.29,1.7,Batch,IoT,Baja,2,Medio,6190,309509,1064,928,3,1,0,78,36,71,27,Sur,-39.71051,-73.04416,P1006,Baja,OK
2025-06-15,6,Sunday,20:00,20:00,143.21,2.39,Streaming,CRM,Media,1,Bajo,3120,311977,658,623,2,1,1,36,70,37,130,Centro,-33.5768,-70.73552,P1006,Baja,OK
2025-03-25,3,Tuesday,12:00,13:00,43.15,0.72,Batch,Web,Baja,0,Bajo,0,81009,970,405,1,5,0,26,63,23,35,Centro,-33.34927,-70.65045,P1006,Baja,OK
2025-04-23,4,Wednesday,22:00,22:00,130.97,2.18,Batch,CRM,Alta,1,Bajo,1453,145308,910,1307,3,8,1,36,37,41,178,Sur,-39.79465,-73.09626,P1006,Baja,OK
2025-05-08,5,Thursday,06:00,08:00,204.48,3.41,Streaming,CRM,Baja,2,Medio,9464,473207,523,2839,1,4,0,64,27,54,157,Norte,-23.52426,-70.42196,P1006,Baja,OK
2025-05-06,5,Tuesday,06:00,07:00,129.14,2.15,Batch,POS,Baja,0,Bajo,0,111017,858,888,3,8,1,67,60,55,119,Sur,-39.652,-73.06487,P1006,Baja,OK
2025-03-14,3,Friday,10:00,10:00,241.1,4.02,Streaming,Web,Media,0,Bajo,0,494477,501,3955,3,8,2,55,76,55,171,Centro,-33.62655,-70.46706,P1006,Baja,OK
2025-03-20,3,Thursday,15:00,16:00,149.86,2.5,Streaming,Web,Alta,3,Medio,9214,307145,484,921,4,0,0,50,52,55,116,Norte,-23.73282,-70.34946,P1006,Baja,OK
2025-03-19,3,Wednesday,12:00,12:00,142.96,2.38,Streaming,ERP,Media,1,Bajo,4421,442089,1001,3978,2,8,2,37,30,30,98,Sur,-39.99795,-73.1075,P1006,Baja,OK
2025-02-17,2,Monday,07:00,09:00,191.91,3.2,Batch,CRM,Media,4,Alto,19809,495236,936,2971,4,2,1,80,52,64,150,Sur,-39.99903,-73.10984,P1006,Baja,OK
2025-06-18,6,Wednesday,10:00,10:00,166.96,2.78,Batch,POS,Media,1,Bajo,737,73715,415,516,2,6,2,61,65,47,176,Norte,-23.56439,-70.40189,P1006,Baja,OK
2025-06-26,6,Thursday,00:00,01:00,91.68,1.53,Streaming,CRM,Media,3,Medio,5372,179065,1013,1253,5,4,2,27,34,31,56,Norte,-23.70129,-70.26489,P1006,Baja,OK
2025-06-19,6,Thursday,22:00,22:00,204.53,3.41,Streaming,ERP,Baja,5,Alto,18232,364640,659,1823,2,0,2,77,74,72,144,Centro,-33.53877,-70.49957,P1006,Baja,OK
2025-03-14,3,Friday,18:00,19:00,161.28,2.69,Streaming,IoT,Baja,1,Bajo,3315,331511,587,1989,3,5,2,75,56,66,37,Sur,-39.97425,-73.37643,P1006,Baja,OK
2025-02-28,2,Friday,01:00,02:00,111.48,1.86,Streaming,IoT,Baja,4,Alto,6211,155270,909,931,1,2,0,37,30,33,162,Norte,-23.69204,-70.24576,P1006,Baja,OK
2025-03-23,3,Sunday,01:00,03:00,168.7,2.81,Batch,Web,Baja,3,Medio,8391,279695,779,1398,2,2,2,40,52,39,177,Norte,-23.54498,-70.27744,P1006,Baja,OK
2025-02-17,2,Monday,20:00,20:00,163.08,2.72,Batch,POS,Media,3,Medio,11631,387712,605,1163,2,0,1,36,47,32,138,Norte,-23.71346,-70.21983,P1006,Baja,OK
2025-01-29,1,Wednesday,21:00,21:00,107.4,1.79,Batch,Web,Media,4,Alto,13085,327115,1016,2616,2,4,0,53,29,52,82,Sur,-39.73153,-73.42988,P1006,Baja,OK
2025-05-25,5,Sunday,01:00,02:00,107.8,1.8,Batch,ERP,Alta,0,Bajo,0,70148,779,140,0,2,2,35,71,41,102,Sur,-39.80629,-73.19257,P1006,Baja,OK
2025-03-02,3,Sunday,21:00,22:00,127.91,2.13,Streaming,POS,Alta,4,Alto,2415,60377,475,664,6,7,2,27,61,35,159,Norte,-23.5072,-70.29513,P1006,Baja,OK
2025-02-11,2,Tuesday,11:00,13:00,105.1,1.75,Streaming,CRM,Baja,1,Bajo,3313,331256,865,1987,3,5,0,54,55,54,59,Centro,-33.51194,-70.46481,P1006,Baja,OK
2025-04-28,4,Monday,23:00,23:00,162.68,2.71,Batch,IoT,Media,5,Alto,13044,260884,632,1826,5,2,1,54,51,55,158,Centro,-33.32782,-70.80241,P1006,Baja,OK
2025-04-29,4,Tuesday,17:00,18:00,103.96,1.73,Batch,Web,Media,1,Bajo,3278,327839,1140,1311,3,3,0,67,50,57,54,Centro,-33.46459,-70.72488,P1006,Baja,OK
2025-05-22,5,Thursday,05:00,07:00,149.11,2.49,Batch,CRM,Media,4,Alto,11486,287145,1067,2297,4,4,1,55,31,49,158,Sur,-39.89724,-73.28287,P1006,Baja,OK
2025-04-16,4,Wednesday,10:00,11:00,123.31,2.06,Batch,IoT,Baja,2,Medio,6950,347477,795,1389,2,2,2,26,69,29,72,Sur,-39.84729,-73.06272,P1006,Baja,OK
2025-01-14,1,Tuesday,10:00,10:00,152.58,2.54,Batch,ERP,Media,5,Alto,21776,435518,943,2177,1,0,0,45,64,36,176,Sur,-39.96778,-73.0675,P1006,Baja,OK
2025-03-19,3,Wednesday,03:00,05:00,108.67,1.81,Streaming,POS,Baja,4,Alto,15070,376752,771,3390,4,5,1,38,44,36,36,Centro,-33.5688,-70.79976,P1006,Baja,OK
2025-01-25,1,Saturday,01:00,01:00,125.03,2.08,Batch,ERP,Media,5,Alto,16979,339575,975,4074,6,7,1,64,51,53,60,Norte,-23.7847,-70.55262,P1006,Baja,OK
2025-01-22,1,Wednesday,11:00,11:00,107.51,1.79,Streaming,Web,Baja,3,Medio,10700,356651,851,1783,3,2,0,26,62,34,112,Centro,-33.49825,-70.79182,P1006,Baja,OK
2025-06-09,6,Monday,18:00,19:00,75.99,1.27,Streaming,Web,Baja,5,Alto,10907,218138,1049,1963,2,4,0,34,32,43,70,Norte,-23.60039,-70.32905,P1006,Baja,OK
2025-04-21,4,Monday,10:00,10:00,98.09,1.63,Batch,POS,Media,0,Bajo,0,217021,901,434,3,2,2,42,58,42,26,Centro,-33.3095,-70.78319,P1006,Baja,OK
2025-05-01,5,Thursday,12:00,13:00,102.49,1.71,Batch,POS,Baja,4,Alto,2658,66448,964,398,2,2,0,67,30,63,105,Sur,-39.62196,-73.17732,P1006,Baja,OK
2025-03-14,3,Friday,08:00,08:00,143.79,2.4,Streaming,Web,Media,1,Bajo,2635,263487,834,1580,4,5,1,46,48,43,151,Sur,-39.75124,-73.16126,P1006,Baja,OK
2025-02-09,2,Sunday,18:00,18:00,108.03,1.8,Batch,CRM,Baja,0,Bajo,0,62062,516,124,0,2,0,45,80,47,150,Sur,-39.98608,-73.17351,P1006,Baja,OK
2025-06-30,6,Monday,04:00,04:00,174.95,2.92,Batch,Web,Alta,5,Alto,6596,131916,472,1582,3,7,1,76,46,61,178,Norte,-23.84614,-70.59462,P1006,Baja,OK
2025-05-02,5,Friday,06:00,08:00,121.63,2.03,Batch,IoT,Media,0,Bajo,0,172198,1102,516,1,3,2,30,25,36,130,Norte,-23.77577,-70.3127,P1006,Baja,OK
2025-02-06,2,Thursday,17:00,19:00,186.24,3.1,Batch,CRM,Baja,4,Alto,11280,282006,462,1692,3,2,0,71,68,60,171,Sur,-39.73749,-73.25232,P1006,Baja,OK
2025-02-25,2,Tuesday,13:00,14:00,114.83,1.91,Streaming,Web,Media,3,Medio,5082,169388,1174,846,3,2,2,37,36,43,102,Sur,-39.9704,-73.13533,P1006,Baja,OK
2025-01-21,1,Tuesday,21:00,23:00,102.68,1.71,Streaming,POS,Media,0,Bajo,0,134548,1172,134,3,1,0,68,41,53,92,Sur,-39.92369,-73.43721,P1006,Baja,OK
2025-04-05,4,Saturday,15:00,16:00,132.34,2.21,Streaming,IoT,Media,4,Alto,16283,407082,1114,2035,4,1,1,45,62,47,112,Norte,-23.45913,-70.3302,P1006,Baja,OK
2025-04-29,4,Tuesday,14:00,14:00,164.45,2.74,Streaming,POS,Baja,3,Medio,12366,412212,443,3297,5,5,1,39,62,44,63,Centro,-33.43163,-70.56201,P1006,Baja,OK
2025-06-01,6,Sunday,05:00,05:00,92.33,1.54,Batch,IoT,Baja,3,Medio,7500,249993,724,1249,2,2,1,26,80,28,55,Sur,-39.71978,-73.27216,P1006,Baja,OK
2025-06-05,6,Thursday,23:00,23:00,104.92,1.75,Streaming,CRM,Media,2,Medio,5113,255642,909,1022,4,2,2,46,37,43,25,Norte,-23.69348,-70.54004,P1006,Baja,OK
2025-02-25,2,Tuesday,13:00,14:00,129.35,2.16,Streaming,CRM,Baja,5,Alto,4254,85078,508,850,5,5,1,67,28,58,110,Centro,-33.27107,-70.79607,P1006,Baja,OK
2025-04-05,4,Saturday,18:00,19:00,150.58,2.51,Streaming,POS,Baja,4,Alto,14827,370668,839,1853,2,1,0,44,68,46,178,Centro,-33.3974,-70.72457,P1006,Baja,OK
2025-02-02,2,Sunday,10:00,12:00,145.1,2.42,Streaming,Web,Alta,2,Medio,7647,382331,720,3440,3,7,2,38,45,41,79,Norte,-23.67117,-70.4332,P1006,Baja,OK
2025-01-21,1,Tuesday,16:00,17:00,148.17,2.47,Batch,IoT,Media,0,Bajo,0,345330,900,2417,3,7,1,77,77,62,83,Norte,-23.56676,-70.35625,P1006,Baja,OK
2025-03-05,3,Wednesday,07:00,09:00,131.16,2.19,Batch,POS,Baja,2,Medio,5085,254250,860,1271,4,3,2,71,42,55,37,Sur,-39.65983,-73.06114,P1006,Baja,OK
2025-01-16,1,Thursday,23:00,23:00,155.43,2.59,Batch,CRM,Alta,4,Alto,12165,304121,727,2737,4,5,2,60,34,50,89,Centro,-33.50753,-70.61174,P1006,Baja,OK
2025-04-05,4,Saturday,14:00,14:00,91.9,1.53,Batch,ERP,Media,1,Bajo,1868,186832,705,747,1,3,1,52,69,54,22,Sur,-39.90702,-73.12372,P1006,Baja,OK
2025-03-24,3,Monday,00:00,00:00,120.33,2.01,Streaming,POS,Baja,2,Medio,3868,193420,510,1740,3,7,0,53,73,47,100,Sur,-39.86719,-73.37721,P1006,Baja,OK
2025-06-14,6,Saturday,09:00,10:00,103.98,1.73,Streaming,CRM,Alta,5,Alto,3168,63351,963,696,3,6,1,45,78,46,116,Centro,-33.42897,-70.71247,P1006,Baja,OK
2025-01-24,1,Friday,11:00,12:00,87.19,1.45,Batch,Web,Media,1,Bajo,835,83490,908,166,1,1,0,71,70,59,53,Sur,-40.00425,-73.23532,P1006,Baja,OK
2025-04-25,4,Friday,05:00,05:00,193.61,3.23,Batch,Web,Media,5,Alto,16254,325083,463,3575,4,6,1,56,50,46,159,Norte,-23.68494,-70.29966,P1006,Baja,OK
2025-02-05,2,Wednesday,16:00,17:00,107.7,1.8,Batch,CRM,Media,3,Medio,14758,491918,1058,2951,2,3,0,60,26,54,33,Norte,-23.75429,-70.3421,P1006,Baja,OK
2025-02-28,2,Friday,18:00,19:00,65.29,1.09,Batch,CRM,Baja,4,Alto,2493,62327,904,623,3,6,0,26,57,24,94,Centro,-33.34761,-70.59189,P1006,Baja,OK
2025-02-10,2,Monday,06:00,08:00,83.24,1.39,Streaming,POS,Media,4,Alto,6462,161557,806,969,4,2,0,48,57,49,62,Centro,-33.36927,-70.62737,P1006,Baja,OK
2025-01-11,1,Saturday,12:00,12:00,114.75,1.91,Streaming,CRM,Alta,4,Alto,2604,65108,862,716,3,7,2,50,32,45,93,Centro,-33.57169,-70.50083,P1006,Baja,OK
2025-05-11,5,Sunday,00:00,01:00,149.75,2.5,Batch,CRM,Baja,2,Medio,9576,478794,1007,2872,2,4,1,72,44,63,74,Norte,-23.76994,-70.37192,P1006,Baja,OK
2025-06-20,6,Friday,07:00,07:00,127.49,2.12,Batch,IoT,Alta,3,Medio,6649,221630,1137,2216,4,7,2,38,56,46,119,Norte,-23.51817,-70.25586,P1006,Baja,OK
2025-02-25,2,Tuesday,20:00,20:00,82.35,1.37,Batch,ERP,Media,3,Medio,1500,50004,680,350,4,4,1,64,28,50,22,Norte,-23.49624,-70.25893,P1006,Baja,OK
2025-01-31,1,Friday,20:00,22:00,130.28,2.17,Batch,POS,Alta,0,Bajo,0,453934,704,0,1,0,1,51,66,54,25,Sur,-39.66942,-73.40956,P1006,Baja,OK
2025-01-17,1,Friday,23:00,23:00,166.12,2.77,Streaming,POS,Baja,3,Medio,12900,430008,488,2580,4,3,2,36,25,30,48,Norte,-23.49788,-70.22718,P1006,Baja,OK
2025-03-13,3,Thursday,22:00,23:00,137.25,2.29,Batch,Web,Alta,3,Medio,14562,485395,842,4853,2,7,0,26,27,24,147,Norte,-23.82394,-70.32879,P1006,Baja,OK
2025-03-01,3,Saturday,22:00,23:00,175.11,2.92,Batch,Web,Baja,0,Bajo,0,411588,640,2881,4,7,2,67,42,64,68,Centro,-33.56892,-70.75309,P1006,Baja,OK
2025-02-14,2,Friday,18:00,19:00,128.4,2.14,Batch,POS,Media,5,Alto,6796,135928,957,1359,5,5,1,54,77,53,140,Centro,-33.50439,-70.62078,P1006,Baja,OK
2025-03-27,3,Thursday,11:00,13:00,131.24,2.19,Batch,Web,Media,2,Medio,6686,334304,1091,2674,3,6,1,34,77,36,146,Centro,-33.25659,-70.55307,P1006,Baja,OK
2025-06-27,6,Friday,12:00,12:00,126.95,2.12,Batch,Web,Media,4,Alto,15108,377712,918,2266,2,2,1,35,27,33,107,Centro,-33.34852,-70.51528,P1006,Baja,OK
2025-03-25,3,Tuesday,23:00,23:00,158.63,2.64,Batch,POS,Alta,5,Alto,9177,183545,404,2386,3,8,0,58,31,60,167,Norte,-23.4538,-70.3824,P1006,Baja,OK
2025-05-10,5,Saturday,03:00,04:00,127.41,2.12,Streaming,CRM,Baja,1,Bajo,2639,263908,1167,527,0,1,2,39,61,38,109,Centro,-33.44075,-70.53226,P1006,Baja,OK
2025-02-23,2,Sunday,05:00,07:00,151.62,2.53,Batch,ERP,Baja,1,Bajo,3341,334146,614,668,0,1,0,73,50,65,97,Norte,-23.57203,-70.47738,P1006,Baja,OK
2025-06-08,6,Sunday,18:00,19:00,207.23,3.45,Streaming,CRM,Alta,2,Medio,8317,415857,410,2495,4,4,1,52,47,50,123,Norte,-23.74863,-70.21959,P1006,Baja,OK
2025-06-26,6,Thursday,18:00,20:00,85.73,1.43,Streaming,Web,Media,5,Alto,3314,66274,759,596,5,4,1,27,56,26,101,Sur,-39.78267,-73.16835,P1006,Baja,OK
2025-03-28,3,Friday,07:00,09:00,58.96,0.98,Batch,ERP,Media,0,Bajo,0,182202,886,1457,5,8,0,27,56,37,42,Sur,-39.82388,-73.42907,P1006,Baja,OK
2025-01-18,1,Saturday,16:00,16:00,169.87,2.83,Batch,Web,Media,0,Bajo,0,371764,621,2230,4,6,0,70,79,54,135,Norte,-23.72085,-70.37895,P1006,Baja,OK
2025-02-11,2,Tuesday,01:00,02:00,144.18,2.4,Streaming,CRM,Alta,5,Alto,17853,357055,659,2142,3,1,2,59,66,60,32,Centro,-33.37115,-70.70473,P1006,Baja,OK
2025-02-16,2,Sunday,07:00,08:00,139.55,2.33,Batch,IoT,Alta,0,Bajo,0,304933,893,914,2,3,1,78,29,60,70,Centro,-33.47931,-70.58528,P1006,Baja,OK
2025-06-28,6,Saturday,13:00,13:00,119.08,1.98,Batch,IoT,Alta,1,Bajo,1362,136210,503,408,2,2,2,53,76,57,49,Sur,-39.68178,-73.34851,P1006,Baja,OK
2025-03-09,3,Sunday,21:00,22:00,135.64,2.26,Streaming,ERP,Media,3,Medio,2027,67582,885,473,2,4,2,59,31,48,127,Sur,-39.66092,-73.29268,P1006,Baja,OK
2025-05-03,5,Saturday,02:00,04:00,53.66,0.89,Streaming,Web,Baja,5,Alto,4764,95286,565,667,4,2,0,33,32,39,26,Centro,-33.44715,-70.76271,P1006,Baja,OK
2025-05-15,5,Thursday,21:00,22:00,85.95,1.43,Batch,Web,Alta,0,Bajo,0,119842,707,719,1,6,1,39,37,32,57,Sur,-39.8547,-73.21613,P1006,Baja,OK
2025-01-26,1,Sunday,05:00,06:00,141.96,2.37,Streaming,IoT,Alta,1,Bajo,4701,470072,891,1880,2,3,2,33,45,43,82,Sur,-40.01646,-73.08785,P1006,Baja,OK
2025-06-10,6,Tuesday,13:00,15:00,87.69,1.46,Batch,Web,Media,3,Medio,3787,126232,922,504,2,1,2,29,34,30,52,Sur,-39.76919,-73.09652,P1006,Baja,OK
2025-02-02,2,Sunday,15:00,17:00,133.49,2.22,Streaming,IoT,Alta,0,Bajo,0,459275,728,2755,2,6,0,73,52,70,30,Norte,-23.51881,-70.43744,P1006,Baja,OK
2025-06-30,6,Monday,04:00,06:00,133.72,2.23,Batch,IoT,Baja,0,Bajo,0,200799,933,1405,1,7,1,35,40,31,173,Centro,-33.39158,-70.55783,P1006,Baja,OK
