Sistema_Origen,Tipo_Pipeline,Prioridad,Region,Dia_Semana,Nivel_Duplicados,Rechazos,Reglas_Calidad,Reintentos
IoT,Batch,Media,Centro,Monday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_1
Web,Batch,Media,Centro,Tuesday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_0
CRM,Batch,Media,Sur,Thursday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
IoT,Batch,Baja,Sur,Wednesday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_2
ERP,Batch,Media,Sur,Tuesday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_0
POS,Streaming,Baja,Centro,Wednesday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
ERP,Batch,Media,Norte,Saturday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
Web,Streaming,Baja,Centro,Wednesday,Medio,Rechazos_Medio,Reglas_Medias,Reint_0
Web,Streaming,Baja,Norte,Monday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_0
POS,Batch,Media,Centro,Monday,Bajo,Rechazos_Bajo,Reglas_Medias,Reint_2
POS,Batch,Baja,Sur,Thursday,Alto,Rechazos_Bajo,Reglas_Pocas,Reint_0
Web,Streaming,Media,Sur,Friday,Bajo,Rechazos_Medio,Reglas_Muchas,Reint_1
CRM,Batch,Baja,Sur,Sunday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
Web,Batch,Alta,Norte,Monday,Alto,Rechazos_Medio,Reglas_Medias,Reint_1
IoT,Batch,Media,Norte,Friday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
CRM,Batch,Baja,Sur,Thursday,Alto,Rechazos_Medio,Reglas_Medias,Reint_0
Web,Streaming,Media,Sur,Tuesday,Medio,Rechazos_Bajo,Reglas_Medias,Reint_2
POS,Streaming,Media,Sur,Tuesday,Bajo,Rechazos_Bajo,Reglas_Medias,Reint_0
IoT,Streaming,Media,Norte,Saturday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_1
POS,Streaming,Baja,Centro,Tuesday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_1
IoT,Batch,Baja,Sur,Sunday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_1
CRM,Streaming,Media,Norte,Thursday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
CRM,Streaming,Baja,Centro,Tuesday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_1
POS,Streaming,Baja,Centro,Saturday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_0
Web,Streaming,Alta,Norte,Sunday,Medio,Rechazos_Alto,Reglas_Medias,Reint_2
IoT,Batch,Media,Norte,Tuesday,Bajo,Rechazos_Alto,Reglas_Medias,Reint_1
POS,Batch,Baja,Sur,Wednesday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
CRM,Batch,Alta,Centro,Thursday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_2
ERP,Batch,Media,Sur,Saturday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
POS,Streaming,Baja,Sur,Monday,Medio,Rechazos_Medio,Reglas_Medias,Reint_0
CRM,Streaming,Alta,Centro,Saturday,Alto,Rechazos_Bajo,Reglas_Medias,Reint_1
Web,Batch,Media,Sur,Friday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
Web,Batch,Media,Norte,Friday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
CRM,Batch,Media,Norte,Wednesday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_0
CRM,Batch,Baja,Centro,Friday,Alto,Rechazos_Bajo,Reglas_Medias,Reint_0
POS,Streaming,Media,Centro,Monday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_0
CRM,Streaming,Alta,Centro,Saturday,Alto,Rechazos_Bajo,Reglas_Medias,Reint_2
CRM,Batch,Baja,Norte,Sunday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_1
IoT,Batch,Alta,Norte,Friday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_2
ERP,Batch,Media,Norte,Tuesday,Medio,Rechazos_Bajo,Reglas_Muchas,Reint_1
POS,Batch,Alta,Sur,Friday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
POS,Streaming,Baja,Norte,Friday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_2
Web,Batch,Alta,Norte,Thursday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_0
Web,Batch,Baja,Centro,Saturday,Bajo,Rechazos_Alto,Reglas_Muchas,Reint_2
POS,Batch,Media,Centro,Friday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_1
Web,Batch,Media,Centro,Thursday,Medio,Rechazos_Alto,Reglas_Medias,Reint_1
Web,Batch,Media,Centro,Friday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_1
POS,Batch,Alta,Norte,Tuesday,Alto,Rechazos_Alto,Reglas_Medias,Reint_0
CRM,Streaming,Baja,Centro,Saturday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
ERP,Batch,Baja,Norte,Sunday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
CRM,Streaming,Alta,Norte,Sunday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_1
Web,Streaming,Media,Sur,Thursday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_1
ERP,Batch,Media,Sur,Friday,Bajo,Rechazos_Medio,Reglas_Muchas,Reint_0
Web,Batch,Media,Norte,Saturday,Bajo,Rechazos_Alto,Reglas_Muchas,Reint_0
CRM,Streaming,Alta,Centro,Tuesday,Alto,Rechazos_Alto,Reglas_Medias,Reint_2
IoT,Batch,Alta,Centro,Sunday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
IoT,Batch,Alta,Sur,Saturday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
ERP,Streaming,Media,Sur,Sunday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_2
Web,Streaming,Baja,Centro,Saturday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_0
Web,Batch,Alta,Sur,Thursday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
IoT,Streaming,Alta,Sur,Sunday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_2
Web,Batch,Media,Sur,Tuesday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_2
IoT,Streaming,Alta,Norte,Sunday,Bajo,Rechazos_Alto,Reglas_Pocas,Reint_0
IoT,Batch,Baja,Centro,Monday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_1
IoT,Streaming,Alta,Centro,Thursday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
POS,Batch,Baja,Sur,Saturday,Medio,Rechazos_Bajo,Reglas_Muchas,Reint_2
POS,Streaming,Alta,Centro,Saturday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
Web,Streaming,Baja,Norte,Sunday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_0
Web,Streaming,Baja,Sur,Friday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
Web,Streaming,Alta,Centro,Monday,Medio,Rechazos_Medio,Reglas_Medias,Reint_1
ERP,Batch,Baja,Centro,Wednesday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_0
POS,Streaming,Alta,Norte,Saturday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_2
CRM,Batch,Baja,Sur,Monday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_1
IoT,Batch,Baja,Norte,Wednesday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_0
IoT,Streaming,Baja,Norte,Wednesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
IoT,Streaming,Alta,Sur,Thursday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_1
CRM,Streaming,Baja,Sur,Tuesday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_0
IoT,Streaming,Media,Sur,Thursday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_0
